threshold,model,net_benefit
0.01,Full XGBoost,0.043536526123590796
0.01,Comparator 2: creatinine trajectory,0.04224374327467111
0.01,Treat all,0.042259631068165715
0.01,Treat none,0.0
0.0125,Full XGBoost,0.04228585204821081
0.0125,Comparator 2: creatinine trajectory,0.03978541327033111
0.0125,Treat all,0.039834971906312966
0.0125,Treat none,0.0
0.015000000000000001,Full XGBoost,0.04074313311423589
0.015000000000000001,Comparator 2: creatinine trajectory,0.03735035985839116
0.015000000000000001,Treat all,0.03739800482993305
0.015000000000000001,Treat none,0.0
0.0175,Full XGBoost,0.039791511388433516
0.0175,Comparator 2: creatinine trajectory,0.03481917119716946
0.0175,Treat all,0.03494863588547996
0.0175,Treat none,0.0
0.020000000000000004,Full XGBoost,0.038912318273978314
0.020000000000000004,Comparator 2: creatinine trajectory,0.03200945967965069
0.020000000000000004,Treat all,0.032486770160698016
0.020000000000000004,Treat none,0.0
0.022500000000000003,Full XGBoost,0.03796255886701436
0.022500000000000003,Comparator 2: creatinine trajectory,0.0294240734174637
0.022500000000000003,Treat all,0.030012311772362205
0.022500000000000003,Treat none,0.0
0.025,Full XGBoost,0.03727112959302527
0.025,Comparator 2: creatinine trajectory,0.028688612624602778
0.025,Treat all,0.0275251638538298
0.025,Treat none,0.0
0.027500000000000004,Full XGBoost,0.03667876924707815
0.027500000000000004,Comparator 2: creatinine trajectory,0.029463280862448066
0.027500000000000004,Treat all,0.025025228542400055
0.027500000000000004,Treat none,0.0
0.030000000000000006,Full XGBoost,0.03603039114132811
0.030000000000000006,Comparator 2: creatinine trajectory,0.029432319043884977
0.030000000000000006,Treat all,0.022512406966478403
0.030000000000000006,Treat none,0.0
0.03250000000000001,Full XGBoost,0.03530806678577773
0.03250000000000001,Comparator 2: creatinine trajectory,0.029362453650746065
0.03250000000000001,Treat all,0.019986599232541653
0.03250000000000001,Treat none,0.0
0.035,Full XGBoost,0.03480301606119289
0.035,Comparator 2: creatinine trajectory,0.029204882767048967
0.035,Treat all,0.01744770441190057
0.035,Treat none,0.0
0.037500000000000006,Full XGBoost,0.0341397844090566
0.037500000000000006,Comparator 2: creatinine trajectory,0.029301433209726797
0.037500000000000006,Treat all,0.01489562052725616
0.037500000000000006,Treat none,0.0
0.04000000000000001,Full XGBoost,0.0335835142728511
0.04000000000000001,Comparator 2: creatinine trajectory,0.029292255788639844
0.04000000000000001,Treat all,0.012330244539045888
0.04000000000000001,Treat none,0.0
0.04250000000000001,Full XGBoost,0.033003671583135705
0.04250000000000001,Comparator 2: creatinine trajectory,0.029208662259659866
0.04250000000000001,Treat all,0.009751472331576028
0.04250000000000001,Treat none,0.0
0.045000000000000005,Full XGBoost,0.032466891357787984
0.045000000000000005,Comparator 2: creatinine trajectory,0.02913564095107127
0.045000000000000005,Treat all,0.007159198698936178
0.045000000000000005,Treat none,0.0
0.04750000000000001,Full XGBoost,0.032050829005660336
0.04750000000000001,Comparator 2: creatinine trajectory,0.02898106090844404
0.04750000000000001,Treat all,0.0045533173306919195
0.04750000000000001,Treat none,0.0
0.05000000000000001,Full XGBoost,0.03160720182772158
0.05000000000000001,Comparator 2: creatinine trajectory,0.028640483601165813
0.05000000000000001,Treat all,0.0019337207973516221
0.05000000000000001,Treat none,0.0
0.05250000000000001,Full XGBoost,0.0311693082791214
0.05250000000000001,Comparator 2: creatinine trajectory,0.028474759371455063
0.05250000000000001,Treat all,-0.0006996994643967899
0.05250000000000001,Treat none,0.0
0.055000000000000014,Full XGBoost,0.03083176817597498
0.055000000000000014,Comparator 2: creatinine trajectory,0.02822620293684218
0.055000000000000014,Treat all,-0.0033470531666835515
0.055000000000000014,Treat none,0.0
0.05750000000000001,Full XGBoost,0.030352580484961596
0.05750000000000001,Comparator 2: creatinine trajectory,0.028063806501868592
0.05750000000000001,Treat all,-0.006008451185693313
0.05750000000000001,Treat none,0.0
0.06000000000000001,Full XGBoost,0.029866387882187366
0.06000000000000001,Comparator 2: creatinine trajectory,0.027593988818792638
0.06000000000000001,Treat all,-0.00868400557714464
0.06000000000000001,Treat none,0.0
0.06250000000000001,Full XGBoost,0.0296022749938737
0.06250000000000001,Comparator 2: creatinine trajectory,0.02735463575592826
0.06250000000000001,Treat all,-0.011373829592017028
0.06250000000000001,Treat none,0.0
0.065,Full XGBoost,0.02932349297853493
0.065,Comparator 2: creatinine trajectory,0.02704598184445763
0.065,Treat all,-0.014078037692530417
0.065,Treat none,0.0
0.0675,Full XGBoost,0.02904119939077266
0.0675,Comparator 2: creatinine trajectory,0.0268447156440236
0.0675,Treat all,-0.01679674556838171
0.0675,Treat none,0.0
0.07,Full XGBoost,0.02872659574683211
0.07,Comparator 2: creatinine trajectory,0.026438402526038834
0.07,Treat all,-0.019530070153242964
0.07,Treat none,0.0
0.07250000000000001,Full XGBoost,0.028364490014613254
0.07250000000000001,Comparator 2: creatinine trajectory,0.02610662658217144
0.07250000000000001,Treat all,-0.022278129641526638
0.07250000000000001,Treat none,0.0
0.07500000000000001,Full XGBoost,0.028135074603762095
0.07500000000000001,Comparator 2: creatinine trajectory,0.0255303772767998
0.07500000000000001,Treat all,-0.025041043505422654
0.07500000000000001,Treat none,0.0
0.07750000000000001,Full XGBoost,0.02777028351569525
0.07750000000000001,Comparator 2: creatinine trajectory,0.025056688822346327
0.07750000000000001,Treat all,-0.02781893251221241
0.07750000000000001,Treat none,0.0
0.08,Full XGBoost,0.027434172332718595
0.08,Comparator 2: creatinine trajectory,0.02447199234664865
0.08,Treat all,-0.030611918741865148
0.08,Treat none,0.0
0.0825,Full XGBoost,0.027146867235030035
0.0825,Comparator 2: creatinine trajectory,0.023990649112183217
0.0825,Treat all,-0.03342012560492202
0.0825,Treat none,0.0
0.085,Full XGBoost,0.026929835452710348
0.085,Comparator 2: creatinine trajectory,0.023574875327603995
0.085,Treat all,-0.03624367786067317
0.085,Treat none,0.0
0.08750000000000001,Full XGBoost,0.02672112300147804
0.08750000000000001,Comparator 2: creatinine trajectory,0.023048856831504108
0.08750000000000001,Treat all,-0.039082701635633925
0.08750000000000001,Treat none,0.0
0.09000000000000001,Full XGBoost,0.026501870016256847
0.09000000000000001,Comparator 2: creatinine trajectory,0.022623185571331438
0.09000000000000001,Treat all,-0.04193732444232522
0.09000000000000001,Treat none,0.0
0.09250000000000001,Full XGBoost,0.02630971504504495
0.09250000000000001,Comparator 2: creatinine trajectory,0.022128148273429363
0.09250000000000001,Treat all,-0.0448076751983647
0.09250000000000001,Treat none,0.0
0.09500000000000001,Full XGBoost,0.02606237480366012
0.09500000000000001,Comparator 2: creatinine trajectory,0.02160317245766006
0.09500000000000001,Treat all,-0.04769388424587399
0.09500000000000001,Treat none,0.0
0.09750000000000002,Full XGBoost,0.025742104604865933
0.09750000000000002,Comparator 2: creatinine trajectory,0.021070931148296557
0.09750000000000002,Treat all,-0.05059608337120882
0.09750000000000002,Treat none,0.0
0.10000000000000002,Full XGBoost,0.02551959560730141
0.10000000000000002,Comparator 2: creatinine trajectory,0.020705939565251255
0.10000000000000002,Treat all,-0.05351440582501774
0.10000000000000002,Treat none,0.0
