feature,mean_coefficient,sd_coefficient,min_coefficient,max_coefficient,mean_odds_ratio_per_training_SD
x_creatinine_slope_per_hour,0.03456185845731724,0.0026295151484991256,0.03177601512961493,0.03868982282036778,1.0351660601711892
x_lab_creatinine_last,0.8235781278969124,0.1176031088262748,0.6970402283627921,0.9542411839279114,2.278638528295946
x_lab_creatinine_max,-0.8967515439586166,0.12997311464046624,-1.0511799735330203,-0.7329371359556134,0.4078925308891179
x_lab_creatinine_n,0.01262459031115567,0.017140667889249016,-0.012469814463620783,0.02952565058747834,1.0127046168643066
x_reference_creatinine,0.6843676456661703,0.014377426747370328,0.6716636456179719,0.7065681990639449,1.9825177853634481
x_stage1_at_landmark,0.5085798392064429,0.009780936608131991,0.49892474661718905,0.5200905529645993,1.662927892213114
