threshold,patients,events,tp,fp,tn,fn,sensitivity,specificity,ppv,npv,f1,alerts_per_100_patients,true_alerts_per_100_patients,false_alerts_per_100_patients,patients_evaluated_per_true_positive,sensitivity_ci_lower,sensitivity_ci_upper,specificity_ci_lower,specificity_ci_upper,ppv_ci_lower,ppv_ci_upper,npv_ci_lower,npv_ci_upper,f1_ci_lower,f1_ci_upper,alerts_per_100_patients_ci_lower,alerts_per_100_patients_ci_upper,false_alerts_per_100_patients_ci_lower,false_alerts_per_100_patients_ci_upper
0.03,58491,3032,2490,12369,43090,542,0.8212401055408971,0.7769703745108999,0.1675752069452857,0.9875779244591126,0.2783522441451009,25.40390829358363,4.257065189516336,21.14684310406729,5.967469879518072,0.8048628346251423,0.8373019258898099,0.7669434296647482,0.7871407318190741,0.1584126544690672,0.1763695929401428,0.9863832620338449,0.9887161290953768,0.2653747877651926,0.2906434866186599,24.362693709260466,26.423536837166186,20.19260491949253,22.10155150903185
0.05,58491,3032,2247,7567,47892,785,0.7410949868073878,0.8635568618258533,0.2289586305278174,0.9838732871787496,0.3498365249883232,16.778649706792496,3.8416166589731753,12.937033047819323,4.367601246105919,0.7236082486354226,0.7585454053480514,0.8575233973018339,0.8698927300803466,0.2187626572624413,0.2392633240165583,0.9825944210291904,0.98524084635447,0.3371770703413753,0.3622803260232607,16.08867133603316,17.46248135005985,12.34970086381797,13.504506959317442
0.075,58491,3032,2107,5690,49769,925,0.6949208443271768,0.8974016841270127,0.2702321405668847,0.9817532646861562,0.3891402714932127,13.330255936810792,3.602263596108803,9.727992340701988,3.7005220692928336,0.6793102021220517,0.7106757449477272,0.8924662811780617,0.9022512155281712,0.2579828427642295,0.2823772133836319,0.98032018266147,0.983111388170296,0.3756797207520971,0.4025664724350091,12.776019418301145,13.874511440696557,9.27537667726469,10.19095098702106
0.1,58491,3032,2013,4683,50776,1019,0.6639182058047494,0.9155592419625308,0.3006272401433691,0.9803262863210734,0.4138569078947368,11.447915063855978,3.4415551110427245,8.006359952813254,3.3263785394932937,0.6478962128745566,0.6797390417406095,0.91137635374246,0.9198396819623876,0.2868025320188225,0.3134927318742499,0.978871241215408,0.9816937351544144,0.399583977331235,0.4269982499300283,10.952551898906592,11.933405595150544,7.603388570954164,8.386434632767266
