metric,value
age_available,58491
bmi_plausible_10_80,57098
ethnicity_available,57986
female,26304
gender_other_or_missing,8
height_available,57985
height_plausible_100_250_cm,57823
hospital_admit_source_available,43051
hospital_bed_category_available,51799
hospital_region_available,54629
hospital_teaching_status_available,58491
main_cohort,58491
male,32179
unit_admit_source_available,58404
unit_type_available,58491
weight_available,57603
weight_plausible_25_300_kg,57561
