scenario,analysis_type,window_start_min,window_end_min,primary_cohort_n,excluded_early_stage23,excluded_not_at_risk_at_start,included_n,events,non_events,prevalence
W72,window,720,4320,58491,0,0,58491,3032,55459,0.05183703475748406
W48,window,720,2880,58491,0,0,58491,2429,56062,0.0415277564069686
W24to72,window,1440,4320,58491,1052,4187,53252,1980,51272,0.037181702095695934
W24to48,window,1440,2880,58491,1052,4187,53252,1377,51875,0.025858183730188538
