source_predictor,variable_type,overall_missingness,outer1_training_missingness,indicator_generated_outer1,survived_step2_outer1,outer2_training_missingness,indicator_generated_outer2,survived_step2_outer2,outer3_training_missingness,indicator_generated_outer3,survived_step2_outer3,outer4_training_missingness,indicator_generated_outer4,survived_step2_outer4,outer5_training_missingness,indicator_generated_outer5,survived_step2_outer5,indicator_generated_any_fold,indicator_generated_all_folds,transformed_indicator_feature
x_lab_potassium_delta,numeric,0.639260740968696,0.633570497617674,True,False,0.6404273504273504,True,False,0.6372580472676719,True,False,0.6394889216503216,True,False,0.6455569087451659,True,False,True,True,missingindicator_x_lab_potassium_delta
x_lab_sodium_first,numeric,0.2119300405190542,0.20214516163493793,True,True,0.21252136752136752,True,True,0.21276868784087263,True,True,0.21470845885947482,True,True,0.2175074247377305,True,True,True,True,missingindicator_x_lab_sodium_first
x_lab_sodium_last,numeric,0.2119300405190542,0.20214516163493793,True,True,0.21252136752136752,True,True,0.21276868784087263,True,True,0.21470845885947482,True,True,0.2175074247377305,True,True,True,True,missingindicator_x_lab_sodium_last
x_lab_sodium_min,numeric,0.2119300405190542,0.20214516163493793,True,True,0.21252136752136752,True,True,0.21276868784087263,True,True,0.21470845885947482,True,True,0.2175074247377305,True,True,True,True,missingindicator_x_lab_sodium_min
x_lab_sodium_max,numeric,0.2119300405190542,0.20214516163493793,True,True,0.21252136752136752,True,True,0.21276868784087263,True,True,0.21470845885947482,True,True,0.2175074247377305,True,True,True,True,missingindicator_x_lab_sodium_max
x_lab_sodium_mean,numeric,0.2119300405190542,0.20214516163493793,True,True,0.21252136752136752,True,True,0.21276868784087263,True,True,0.21470845885947482,True,True,0.2175074247377305,True,True,True,True,missingindicator_x_lab_sodium_mean
x_lab_sodium_n,numeric,0.2119300405190542,0.20214516163493793,True,True,0.21252136752136752,True,True,0.21276868784087263,True,True,0.21470845885947482,True,True,0.2175074247377305,True,True,True,True,missingindicator_x_lab_sodium_n
x_lab_sodium_delta,numeric,0.6772152980800465,0.6690596756618166,True,False,0.6756623931623932,True,False,0.6811891776280612,True,False,0.6790376685255218,True,False,0.681131551396278,True,False,True,True,missingindicator_x_lab_sodium_delta
x_lab_chloride_first,numeric,0.22135029320750202,0.21233681601606735,True,True,0.22158119658119657,True,True,0.22066089188322105,True,True,0.22534880242719485,True,True,0.2268230668974211,True,True,True,True,missingindicator_x_lab_chloride_first
x_lab_chloride_last,numeric,0.22135029320750202,0.21233681601606735,True,True,0.22158119658119657,True,True,0.22066089188322105,True,True,0.22534880242719485,True,True,0.2268230668974211,True,True,True,True,missingindicator_x_lab_chloride_last
x_lab_chloride_min,numeric,0.22135029320750202,0.21233681601606735,True,True,0.22158119658119657,True,True,0.22066089188322105,True,True,0.22534880242719485,True,True,0.2268230668974211,True,True,True,True,missingindicator_x_lab_chloride_min
x_lab_chloride_max,numeric,0.22135029320750202,0.21233681601606735,True,True,0.22158119658119657,True,True,0.22066089188322105,True,True,0.22534880242719485,True,True,0.2268230668974211,True,True,True,True,missingindicator_x_lab_chloride_max
x_lab_chloride_mean,numeric,0.22135029320750202,0.21233681601606735,True,True,0.22158119658119657,True,True,0.22066089188322105,True,True,0.22534880242719485,True,True,0.2268230668974211,True,True,True,True,missingindicator_x_lab_chloride_mean
x_lab_chloride_n,numeric,0.22135029320750202,0.21233681601606735,True,True,0.22158119658119657,True,True,0.22066089188322105,True,True,0.22534880242719485,True,True,0.2268230668974211,True,True,True,True,missingindicator_x_lab_chloride_n
x_lab_glucose_serum_first,numeric,0.22266673505325604,0.21477255731470205,True,True,0.2235897435897436,True,True,0.22083199657790611,True,True,0.22729312223575412,True,True,0.22684443304916352,True,True,True,True,missingindicator_x_lab_glucose_serum_first
