outer_fold,hospitals,n,events,non_events,event_prevalence,mean_predicted_risk,brier,oe_ratio,mean_age,stage1_prevalence,auroc,auprc,calibration_intercept,calibration_slope,calibration_in_the_large,calibration_unstable
1,40,11688,606,11082,0.05184804928131417,0.05156229462521278,0.03746811948119064,1.0055419305556208,63.92932922655715,0.054072553045859,0.8719740273973257,0.4215607950133604,0.045043184343950285,1.0184698528094387,0.007555880862711213,False
2,40,11691,606,11085,0.05183474467539133,0.04933910698007122,0.03724323665800137,1.0505813308767047,62.61055512787615,0.04627491232572064,0.8823911687515167,0.41827842327723036,0.1772253846997273,1.052846731117953,0.0672394661542671,False
3,40,11736,608,11128,0.051806407634628494,0.05371362325398841,0.037663628144971935,0.9644928883247827,62.55095432856169,0.05061349693251534,0.8841045081870293,0.4078440156379931,-0.03525261327499091,1.0077126637458165,-0.05021224151344429,False
4,39,11688,606,11082,0.05184804928131417,0.05338086092589703,0.03670795025522716,0.9712853704867986,64.34753593429159,0.044661190965092405,0.8787470449806215,0.42948697850651324,0.014462773092672802,1.0282475420900936,-0.040407355604903494,False
5,39,11688,606,11082,0.05184804928131417,0.052482349060268337,0.03991591934331531,0.9879140360461807,63.909907597535934,0.05646817248459959,0.8621370664408075,0.33955208249283775,-0.17022723959836664,0.9250403406256935,-0.016790018490640546,False
