fold_a,fold_b,spearman_rho,p_value
1,2,0.5030538672288797,3.42796678264755e-11
1,3,0.5193770787318003,6.037589239439713e-12
1,4,0.6019803422809552,1.8693843455731123e-16
1,5,0.7678298853807651,5.304513322584406e-31
2,3,0.47060622610176805,8.334639815993788e-10
2,4,0.5347633579149594,1.0770996793422056e-12
2,5,0.5496176413205329,1.8736510139583115e-13
3,4,0.5500151594831304,1.7858470870415117e-13
3,5,0.5145393722752873,1.01992131947982e-11
4,5,0.6146859370561617,2.87206193289067e-17
