outer_fold,model,auroc,auprc,brier,log_loss
1,Full XGBoost,0.8719740273973257,0.4215607950133604,0.03746811948119064,0.14185318085403378
2,Full XGBoost,0.8823911687515167,0.41827842327723036,0.03724323665800137,0.13889380076502233
3,Full XGBoost,0.8841045081870293,0.4078440156379931,0.037663628144971935,0.1405183703875691
4,Full XGBoost,0.8787470449806215,0.42948697850651324,0.03670795025522716,0.13892498002066564
5,Full XGBoost,0.8621370664408075,0.33955208249283775,0.0399159193433153,0.14991129323614438
1,No missingness indicators,0.8741216839604914,0.4202835361216773,0.03756064915783267,0.14192976437508611
2,No missingness indicators,0.884973598848383,0.41752221952348495,0.03722543443662115,0.13843022933137233
3,No missingness indicators,0.8833328357344206,0.41988833090500616,0.037408742950864535,0.14003887554387512
4,No missingness indicators,0.8778177289845931,0.430161403265385,0.03666406787238496,0.1388656823554166
5,No missingness indicators,0.8657597757610087,0.34227113657872393,0.03978665041170422,0.14893356525920948
