metric,difference_no_indicator_minus_full,ci_low,ci_high,bootstrap_replicates
auroc,0.0013280984726125045,0.0002741966617935243,0.0023974088984447216,2000
auprc,0.0024864482230631535,-0.001251034506563002,0.006157322808180528,2000
brier,-7.081028040106102e-05,-0.00015824404666527295,2.0994418540207693e-05,2000
log_loss,-0.00038078700361049433,-0.0006444977562180876,-9.652697177789558e-05,2000
calibration_intercept,0.0044696073763299884,-0.004946110508659348,0.014402338726597368,2000
calibration_slope,0.0026004754345927417,-0.0008863853835400836,0.006756433781226194,2000
