model,threshold,sensitivity,specificity,ppv,npv,f1,alerts_per_100
Full XGBoost,0.05,0.7410949868073878,0.8635568618258533,0.2289586305278174,0.9838732871787497,0.3498365249883232,16.778649706792496
No missingness indicators,0.05,0.7410949868073878,0.862186480102418,0.22719919110212336,0.9838480689697743,0.3477789815817985,16.90858422663316
Full XGBoost,0.075,0.6949208443271768,0.8974016841270127,0.2702321405668847,0.9817532646861562,0.3891402714932127,13.330255936810792
No missingness indicators,0.075,0.6975593667546174,0.897203339403884,0.2705987717502559,0.9819042920572274,0.389933628318584,13.362739566770957
Full XGBoost,0.1,0.6639182058047494,0.9155592419625309,0.30062724014336917,0.9803262863210734,0.41385690789473684,11.447915063855978
No missingness indicators,0.1,0.6642480211081794,0.9153428659009358,0.3001937695632732,0.9803406589162257,0.4135099065804332,11.470140705407669
