outer_fold,source_predictor,indicator_feature,n_test,mean_abs_indicator_shap,mean_abs_value_shap,sum_abs_indicator_shap,sum_abs_value_shap,source_missingness_test,fold_indicator_rank
5,x_lab_anion_gap_min,missingindicator_x_lab_anion_gap_min,11688,0.0,0.016629254,0.0,194.36273,0.3586584531143053,26
5,x_lab_anion_gap_max,missingindicator_x_lab_anion_gap_max,11688,0.0,0.004712241,0.0,55.076668,0.3586584531143053,26
5,x_lab_anion_gap_mean,missingindicator_x_lab_anion_gap_mean,11688,0.0,0.009552303,0.0,111.647316,0.3586584531143053,26
5,x_lab_anion_gap_n,missingindicator_x_lab_anion_gap_n,11688,0.0,0.0044705593,0.0,52.2519,0.3586584531143053,26
5,x_vital_heart_rate_first,missingindicator_x_vital_heart_rate_first,11688,0.0,0.00453196,0.0,52.96955,0.006502395619438741,26
5,x_vital_heart_rate_last,missingindicator_x_vital_heart_rate_last,11688,0.0,0.067199044,0.0,785.4224,0.006502395619438741,26
5,x_vital_heart_rate_min,missingindicator_x_vital_heart_rate_min,11688,0.0,0.0013205635,0.0,15.434746,0.006502395619438741,26
5,x_vital_heart_rate_max,missingindicator_x_vital_heart_rate_max,11688,0.0,0.014578207,0.0,170.39009,0.006502395619438741,26
5,x_vital_heart_rate_mean,missingindicator_x_vital_heart_rate_mean,11688,0.0,0.02508135,0.0,293.15082,0.006502395619438741,26
5,x_vital_heart_rate_sd,missingindicator_x_vital_heart_rate_sd,11688,0.0,0.03760481,0.0,439.525,0.006759069130732375,26
5,x_vital_heart_rate_n,missingindicator_x_vital_heart_rate_n,11688,0.0,0.0040228697,0.0,47.019302,0.006502395619438741,26
5,x_vital_sao2_first,missingindicator_x_vital_sao2_first,11688,0.0009828175,0.013254373,11.48717,154.91711,0.012919233401779603,14
5,x_vital_sao2_last,missingindicator_x_vital_sao2_last,11688,0.0,0.016139464,0.0,188.63806,0.012919233401779603,26
5,x_vital_sao2_min,missingindicator_x_vital_sao2_min,11688,0.0,0.010758898,0.0,125.75,0.012919233401779603,26
5,x_vital_sao2_max,missingindicator_x_vital_sao2_max,11688,0.0,0.0013654459,0.0,15.9593315,0.012919233401779603,26
5,x_vital_sao2_mean,missingindicator_x_vital_sao2_mean,11688,0.0,0.041740965,0.0,487.8684,0.012919233401779603,26
5,x_vital_sao2_sd,missingindicator_x_vital_sao2_sd,11688,0.0,0.09640563,0.0,1126.7891,0.013347022587268994,26
5,x_vital_sao2_n,missingindicator_x_vital_sao2_n,11688,0.0,0.0026516924,0.0,30.99298,0.012919233401779603,26
5,x_vital_respiratory_rate_first,missingindicator_x_vital_respiratory_rate_first,11688,0.0,0.008701951,0.0,101.708405,0.094798083504449,26
5,x_vital_respiratory_rate_last,missingindicator_x_vital_respiratory_rate_last,11688,0.0,0.03404758,0.0,397.94815,0.094798083504449,26
5,x_vital_respiratory_rate_min,missingindicator_x_vital_respiratory_rate_min,11688,0.0,0.03270208,0.0,382.22192,0.094798083504449,26
5,x_vital_respiratory_rate_max,missingindicator_x_vital_respiratory_rate_max,11688,0.0,0.0065435953,0.0,76.481544,0.094798083504449,26
5,x_vital_respiratory_rate_mean,missingindicator_x_vital_respiratory_rate_mean,11688,0.0,0.08790201,0.0,1027.3987,0.094798083504449,26
5,x_vital_respiratory_rate_sd,missingindicator_x_vital_respiratory_rate_sd,11688,0.0,0.02850936,0.0,333.2174,0.09565366187542779,26
