outer_fold,candidate_id,auroc,auprc,brier,log_loss
1,XGB01,0.8620818009507498,0.3625329474125651,0.03933756375015905,0.14866730584278173
1,XGB02,0.8746302455237157,0.38642584593956486,0.038320388664901534,0.14375890279082304
1,XGB03,0.8721523664221462,0.38309893731587225,0.038470745359614006,0.1446750965440259
1,XGB04,0.8767408803989486,0.3897865794967615,0.03813495968598201,0.14271675094978745
1,XGB05,0.8635808451237367,0.36452573389887766,0.03924425442821802,0.1481874218196651
1,XGB06,0.875219079103405,0.38826668759847544,0.03821415855438921,0.14331283059795072
2,XGB01,0.859158717824966,0.3577254631337349,0.039516587119113385,0.14955086648144764
2,XGB02,0.8707315852427417,0.38559517623095324,0.038399818589158856,0.1446610216416647
2,XGB03,0.8688409117940806,0.38096128712786465,0.038598568335099226,0.14552585783385655
2,XGB04,0.8737823419617208,0.39239030447207224,0.038127610453557254,0.14332138858821378
2,XGB05,0.8604103838054049,0.35723743801497243,0.03947286410238604,0.14917559433367072
2,XGB06,0.8724190610047674,0.3890774256025766,0.038280876276035346,0.1440777962351777
3,XGB01,0.861287895893873,0.3621186390807162,0.03937066392597647,0.14892706879635625
3,XGB02,0.8717313240933622,0.3847025335617509,0.038390479074643685,0.14431983422970107
3,XGB03,0.8699776073228898,0.3817006695781253,0.038554665904960046,0.1451651399251056
3,XGB04,0.8750330034864486,0.390662324214999,0.03810116994036346,0.14292827484886111
3,XGB05,0.8625627759534429,0.36314466713042165,0.039311963904369696,0.14856327651062556
3,XGB06,0.8728376365077802,0.3860881018950664,0.03829656357881504,0.14381863858545646
4,XGB01,0.8608407900373813,0.3552437741572257,0.039552413254492366,0.1493180864382633
4,XGB02,0.8711966787382212,0.3818934275537653,0.038517315851966286,0.14467805053753668
4,XGB03,0.8696341514819225,0.37686022257753016,0.03867225174088475,0.14545059228804158
4,XGB04,0.874349046442197,0.3867202523693922,0.03830395723571135,0.14346232817061
4,XGB05,0.8616257760805773,0.3518317019680436,0.03955987710416417,0.14914440291711983
4,XGB06,0.8733015128693572,0.3840441298949202,0.038388905211416316,0.14400238563368917
5,XGB01,0.8637256407992367,0.37458283417530713,0.03892233263997384,0.14722809569001144
5,XGB02,0.8753088443411147,0.40486193151766026,0.037791429764694316,0.14218978861479048
5,XGB03,0.8734120010215254,0.3982756622419548,0.038026589627535114,0.14321558127448084
5,XGB04,0.8773514586414562,0.4124095166197855,0.03754518879529018,0.14107314313469174
5,XGB05,0.8652736917390028,0.3772960278950037,0.03880349730851136,0.1466760499987198
5,XGB06,0.8760407598456461,0.40780676445892194,0.03772128900152284,0.14186641713059167
