Metric,Full XGBoost,High-missingness ablation,Difference (ablation − full),95% CI low,95% CI high
AUROC,0.8758038099504537,0.8758705502855255,6.67403350718132e-05,-0.0013578455245467774,0.0014852082222014942
AUPRC,0.3988324062812816,0.3989272087297289,9.480244844733976e-05,-0.005052713440879222,0.004916075124839443
Brier score,0.037799630507975676,0.03780695564312841,7.325135152731754e-06,-0.0001273610867087353,0.00014581346232637072
Calibration intercept,0.002270707704053653,0.005948908780950224,0.003678201076896571,-0.007746551336955234,0.014742490724195445
Calibration slope,1.0045791401544033,1.0073025792254364,0.002723439071033118,-0.0015171741931647054,0.00743892253751641
