audit_category,rank,hospital_label,outer_fold,n,events,non_events,event_prevalence,mean_predicted_risk,brier,oe_ratio,auroc,auprc,calibration_intercept,calibration_slope,calibration_in_the_large,calibration_unstable,performance_estimate_status,tier_b_eligible,tier_strict_eligible
lowest_AUROC,1,Hospital 192,2,393,26,367,0.06615776081424936,0.03193375106566792,0.050727210275383974,2.0717190623238677,0.7299308321106686,0.44753038649753574,1.2108540513734658,1.0937022440812454,0.9102083847352029,False,stable_reporting_tier,True,False
lowest_AUROC,2,Hospital 060,5,513,20,493,0.03898635477582846,0.05022968270509099,0.03974486314559525,0.7761616772442209,0.7596348884381339,0.15559951092910376,-1.1978148807769935,0.6164897888743535,-0.3415088660476496,False,stable_reporting_tier,True,False
lowest_AUROC,3,Hospital 092,5,262,20,242,0.07633587786259542,0.06607400608259673,0.054070793026416264,1.1553087573829064,0.7917355371900828,0.5069813910228276,-0.08990560434559103,0.8507273562157648,0.2024040055487966,False,stable_reporting_tier,True,False
lowest_AUROC,4,Hospital 191,4,602,27,575,0.044850498338870434,0.05337303807221019,0.0357246587203878,0.8403212550537348,0.7992270531400967,0.3926952452388259,-0.4432651620467727,0.8921319743375579,-0.2251175142456208,False,stable_reporting_tier,True,False
lowest_AUROC,5,Hospital 070,3,508,32,476,0.06299212598425197,0.06067995108961032,0.04765735440100556,1.0381044291091648,0.8232011554621849,0.4109785284504859,-0.201937088769605,0.8755522594115177,0.05198591444146037,False,stable_reporting_tier,True,True
lowest_AUPRC,1,Hospital 060,5,513,20,493,0.03898635477582846,0.05022968270509099,0.03974486314559525,0.7761616772442209,0.7596348884381339,0.15559951092910376,-1.1978148807769935,0.6164897888743535,-0.3415088660476496,False,stable_reporting_tier,True,False
lowest_AUPRC,2,Hospital 050,5,1269,62,1207,0.04885736800630418,0.0578839585524114,0.04280940475931864,0.8440571313391768,0.8266563326830051,0.2366624452568038,-0.6415398977738077,0.7923093707434342,-0.23591840001517136,False,stable_reporting_tier,True,True
lowest_AUPRC,3,Hospital 131,5,672,25,647,0.03720238095238095,0.041687512683330125,0.031250728692294116,0.8924106658744676,0.9127047913446678,0.2573216281970149,0.04950785834841081,1.0891289429838673,-0.1408750931033053,False,stable_reporting_tier,True,False
lowest_AUPRC,4,Hospital 115,2,697,28,669,0.040172166427546625,0.04544775506983935,0.03278163371596349,0.883919708813213,0.8696882340380098,0.29094220733210663,-0.26189593893116137,0.9512792304942854,-0.1596963673768291,False,stable_reporting_tier,True,False
lowest_AUPRC,5,Hospital 111,4,1772,99,1673,0.055869074492099324,0.05656253008416835,0.0433193712213013,0.9877400181527042,0.863252972039583,0.32240841071187093,-0.11721357400396612,0.9492052139808884,-0.016782742791499983,False,stable_reporting_tier,True,True
largest_absolute_intercept,1,Hospital 192,2,393,26,367,0.06615776081424936,0.03193375106566792,0.050727210275383974,2.0717190623238677,0.7299308321106686,0.44753038649753574,1.2108540513734658,1.0937022440812454,0.9102083847352029,False,stable_reporting_tier,True,False
largest_absolute_intercept,2,Hospital 060,5,513,20,493,0.03898635477582846,0.05022968270509099,0.03974486314559525,0.7761616772442209,0.7596348884381339,0.15559951092910376,-1.1978148807769935,0.6164897888743535,-0.3415088660476496,False,stable_reporting_tier,True,False
largest_absolute_intercept,3,Hospital 076,1,228,25,203,0.10964912280701754,0.08527488311907898,0.06015244934976666,1.2858314054081088,0.9172413793103448,0.6762364532891425,0.6747903933691426,1.1604685595181836,0.40988995053312555,False,stable_reporting_tier,True,False
largest_absolute_intercept,4,Hospital 050,5,1269,62,1207,0.04885736800630418,0.0578839585524114,0.04280940475931864,0.8440571313391768,0.8266563326830051,0.2366624452568038,-0.6415398977738077,0.7923093707434342,-0.23591840001517136,False,stable_reporting_tier,True,True
largest_absolute_intercept,5,Hospital 068,4,673,32,641,0.0475482912332838,0.04435776816584159,0.027923247448077497,1.0719270423055036,0.9051774570982839,0.6101813187589499,0.6371573097455729,1.2563222352678036,0.09811832925536391,False,stable_reporting_tier,True,True
most_extreme_slope,1,Hospital 060,5,513,20,493,0.03898635477582846,0.05022968270509099,0.03974486314559525,0.7761616772442209,0.7596348884381339,0.15559951092910376,-1.1978148807769935,0.6164897888743535,-0.3415088660476496,False,stable_reporting_tier,True,False
most_extreme_slope,2,Hospital 037,3,663,24,639,0.03619909502262444,0.056826783690761724,0.02380965605872896,0.6370076339285993,0.9456181533646322,0.623082635368655,-0.3032249078458353,1.269718704679357,-0.6322443054506304,False,stable_reporting_tier,True,False
most_extreme_slope,3,Hospital 068,4,673,32,641,0.0475482912332838,0.04435776816584159,0.027923247448077497,1.0719270423055036,0.9051774570982839,0.6101813187589499,0.6371573097455729,1.2563222352678036,0.09811832925536391,False,stable_reporting_tier,True,True
most_extreme_slope,4,Hospital 051,2,723,34,689,0.04702627939142462,0.045592104510518816,0.03190554418410234,1.0314566501437747,0.9458294203022283,0.4780058749792067,0.48097101434712297,1.2206635439219786,0.04166417047658508,False,stable_reporting_tier,True,True
most_extreme_slope,5,Hospital 100,4,988,45,943,0.04554655870445344,0.048066722336112096,0.02886991649529506,0.9475694719927829,0.9237893248497702,0.5590714770059205,0.32964981081336714,1.2114465061923405,-0.073794405681886,False,stable_reporting_tier,True,True
