scenario,analysis_type,window_start_min,window_end_min,n,events,non_events,prevalence,mean_predicted_risk,auroc,auprc,auprc_prevalence_ratio,brier,calibration_slope,threshold,tp,fp,tn,fn,sensitivity,specificity,ppv,npv,delta_auroc,delta_auprc,delta_brier,delta_calibration_slope,auroc_ci_low,auroc_ci_high,auroc_valid_replicates,auprc_ci_low,auprc_ci_high,auprc_valid_replicates,brier_ci_low,brier_ci_high,brier_valid_replicates,calibration_slope_ci_low,calibration_slope_ci_high,calibration_slope_valid_replicates
L0,lead,720,4320,58491,3032,55459,0.05183703475748406,0.052096833360869337,0.8758038099504537,0.3988324062812816,7.6939664498015965,0.037799630507975676,1.0045845901334172,0.05,2247,7567,47892,785,0.7410949868073878,0.8635568618258533,0.2289586305278174,0.9838732871787497,0.0,0.0,0.0,0.0,0.8682404254314526,0.8833324828764958,2000,0.3750472565199362,0.4230653745346629,2000,0.03604389851500637,0.03957816437391181,2000,0.9763372288707219,1.0341941166275357,2000
L6,lead,1080,4320,57238,2375,54863,0.041493413466578144,0.04855803205857711,0.8583596077118412,0.3030332977216429,7.303166271575325,0.0335366688734854,0.9377769905195531,0.05,1657,7504,47359,718,0.6976842105263158,0.8632229371343164,0.1808754502783539,0.9850656238950017,-0.01744420223861254,-0.09579910855963869,-0.004262961634490275,-0.06680759961386407,0.8492524121092391,0.8668458608405825,2000,0.28083048548852674,0.3264990987761678,2000,0.03183708565090385,0.0351348001679346,2000,0.9083697844225184,0.9659561565208453,2000
L12,lead,1440,4320,53252,1980,51272,0.037181702095695934,0.04789855286072308,0.8420131944345941,0.25229327557021514,6.785414904376312,0.03202534087460344,0.8845965186569223,0.05,1324,7254,44018,656,0.6686868686868687,0.8585192697768763,0.15434833294474237,0.9853158436674576,-0.0337906155158596,-0.14653913071106645,-0.0057742896333722385,-0.11998807147649482,0.8322228291496155,0.8513929166818894,2000,0.23228668918275663,0.27319249329826395,2000,0.030451888833765296,0.03360780375100164,2000,0.8535705100507432,0.915137042332023,2000
L24,lead,2160,4320,43215,1106,42109,0.025592965405530486,0.04680037450604701,0.794898128197994,0.13368860284338469,5.2236464483516,0.02696301199652153,0.7360964295539112,0.05,632,6466,35643,474,0.5714285714285714,0.8464461279061484,0.08903916596224289,0.9868759863776061,-0.08090568175245971,-0.2651438034378969,-0.010836618511454146,-0.268488160579506,0.7805293907428181,0.8086427432802931,2000,0.11808355701998344,0.15398841359284057,2000,0.02546230623791232,0.028432272767726526,2000,0.69759604536211,0.7737825853492558,2000
