model,comparison,threshold,sensitivity,specificity,ppv,npv,f1,alerts_per_100,true_positives,false_positives
Full XGBoost,same probability threshold,0.05,0.7410949868073878,0.8635568618258533,0.2289586305278174,0.9838732871787497,0.3498365249883232,16.778649706792496,2247,7567
Comparator 2: creatinine trajectory,same probability threshold,0.05,0.6672163588390502,0.8808489154149912,0.23438767234387672,0.9797633373445648,0.3469090285518306,14.756116325588554,2023,6608
Full XGBoost,same probability threshold,0.075,0.6949208443271768,0.8974016841270127,0.2702321405668847,0.9817532646861562,0.3891402714932127,13.330255936810792,2107,5690
Comparator 2: creatinine trajectory,same probability threshold,0.075,0.6068601583113457,0.9228979967182964,0.30085022890778285,0.9772410501193317,0.4022737210319195,10.456309517703579,1840,4276
Full XGBoost,same probability threshold,0.1,0.6639182058047494,0.9155592419625309,0.30062724014336917,0.9803262863210734,0.41385690789473684,11.447915063855978,2013,4683
Comparator 2: creatinine trajectory,same probability threshold,0.1,0.5300131926121372,0.9357543410447358,0.31083172147001936,0.9732750698599051,0.3918556449646428,8.838966678634321,1607,3563
Full XGBoost,matched alert burden,0.05,0.7410949868073878,0.8635568618258533,0.2289586305278174,0.9838732871787497,0.3498365249883232,16.778649706792496,2247,7567
Comparator 2: creatinine trajectory,matched alert burden,0.04477062243608722,0.6823878627968337,0.86034728357886,0.21082127572855106,0.9802165293670522,0.3221236182469251,16.778649706792496,2069,7745
