scenario,analysis_type,window_start_min,window_end_min,n,events,non_events,prevalence,mean_predicted_risk,auroc,auprc,auprc_prevalence_ratio,brier,calibration_slope,threshold,tp,fp,tn,fn,sensitivity,specificity,ppv,npv,delta_auroc,delta_auprc,delta_brier,delta_calibration_slope,auroc_ci_low,auroc_ci_high,auroc_valid_replicates,auprc_ci_low,auprc_ci_high,auprc_valid_replicates,brier_ci_low,brier_ci_high,brier_valid_replicates,calibration_slope_ci_low,calibration_slope_ci_high,calibration_slope_valid_replicates
W72,window,720,4320,58491,3032,55459,0.05183703475748406,0.052096833360869337,0.8758038099504537,0.3988324062812816,7.6939664498015965,0.037799630507975676,1.0045845901334172,0.05,2247,7567,47892,785,0.7410949868073878,0.8635568618258533,0.2289586305278174,0.9838732871787497,0.0,0.0,0.0,0.0,0.8685348462936846,0.8827167857808332,2000,0.3757470036942373,0.423165382893154,2000,0.03601348713750789,0.03954150815107782,2000,0.9775972628477608,1.0323379131774568,2000
W48,window,720,2880,58491,2429,56062,0.0415277564069686,0.052096833360869337,0.8968656804846965,0.3817102648307762,9.191690037141592,0.030824565368137092,1.0715768535835408,0.05,1938,7876,48186,491,0.7978592013174146,0.8595126823873569,0.19747299775830446,0.9899131006430142,0.0210618705342428,-0.01712214145050539,-0.006975065139838584,0.06699226345012366,0.888259941317742,0.9052530093071187,2000,0.3570615467457388,0.40704576377359974,2000,0.029206404068238132,0.03241205488376821,2000,1.0379803728638872,1.1062684264412816,2000
W24to72,window,1440,4320,53252,1980,51272,0.037181702095695934,0.04789855286072308,0.8420131944345941,0.25229327557021514,6.785414904376312,0.03202534087460344,0.8845965186569223,0.05,1324,7254,44018,656,0.6686868686868687,0.8585192697768763,0.15434833294474237,0.9853158436674576,-0.0337906155158596,-0.14653913071106645,-0.0057742896333722385,-0.11998807147649482,0.8331259472113439,0.8509531265075896,2000,0.23275353109434013,0.2735344349947835,2000,0.03034392850595379,0.03354400775684428,2000,0.8560813029966952,0.9148500231727666,2000
W24to48,window,1440,2880,53252,1377,51875,0.025858183730188538,0.04789855286072308,0.8675003631082062,0.21692748087060848,8.389122884038956,0.024364059888080894,0.9514165823492682,0.05,1015,7563,44312,362,0.7371096586782862,0.8542072289156627,0.11832595010491956,0.9918968527555178,-0.008303446842247486,-0.1819049254106731,-0.013435570619894782,-0.053168007784148985,0.8556263412087823,0.8782016946950003,2000,0.198179298446013,0.23830549507290427,2000,0.023145371367035213,0.02570192233008335,2000,0.9149176354571465,0.9870498694419736,2000
