model,auroc,auprc,brier,log_loss,calibration_intercept,calibration_slope,mean_predicted_risk
Full XGBoost,0.8758038099504537,0.3988324062812816,0.037799630507975676,0.14201893213075395,0.002270707704053653,1.0045791401544033,0.052096833360869337
No missingness indicators,0.8771319084230662,0.40131885450434474,0.037728820227574615,0.14163814512714346,0.006740315080383641,1.007179615588996,0.052146933498319385
