metric,xgboost,comparator,difference_xgboost_minus_comparator,ci_low,ci_high,bootstrap_replicates
auroc,0.8758038099504537,0.7839225794747895,0.09188123047566421,0.08210915580654742,0.10266149752312555,2000
auprc,0.3988324062812816,0.2506805853557031,0.1481518209255785,0.12982752860533653,0.16663857093776818,2000
brier,0.037799630507975676,0.04398467664147823,-0.006185046133502556,-0.006900115539787985,-0.00547867245435581,2000
log_loss,0.14201893213075395,0.16886226454936365,-0.0268433324186097,-0.029163754420046456,-0.024447272892296965,2000
calibration_intercept,0.002270707704053653,-0.017170055905379383,0.019440763609433035,-0.09261900252671515,0.1422964143529367,2000
calibration_slope,1.0045791401544033,0.9937636631687772,0.010815476985626127,-0.02840317248507248,0.05330624255399342,2000
