Characteristic,Final primary cohort,Reference creatinine unavailable,Other post-reference exclusions,Missingness by group,Abs SMD final vs no reference,Abs SMD final vs other excluded
Hospital admission source: Direct Admit,"3,731 (6.4%)","2,433 (5.8%)","1,704 (6.5%)",Missing retained as category,0.022215560208170376,0.004903129315517144
Hospital admission source: Emergency Department,"20,251 (34.6%)","18,903 (45.4%)","10,784 (41.1%)",Missing retained as category,0.22182934468258447,0.13446770274952993
Hospital admission source: Floor,"6,393 (10.9%)","1,912 (4.6%)","2,670 (10.2%)",Missing retained as category,0.2384417938115595,0.02429320209496452
Hospital admission source: ICU,12 (0.0%),14 (0.0%),7 (0.0%),Missing retained as category,0.007978007757186087,0.004024161006830171
Hospital admission source: ICU to SDU,30 (0.1%),23 (0.1%),9 (0.0%),Missing retained as category,0.0017246795796428977,0.00820075799540243
Hospital admission source: Missing,"15,440 (26.4%)","10,356 (24.9%)","6,312 (24.1%)",Missing retained as category,0.03461768034291785,0.05350132688278142
Hospital admission source: Observation,3 (0.0%),4 (0.0%),3 (0.0%),Missing retained as category,0.005222166302691359,0.006935889800305535
Hospital admission source: Operating Room,"7,114 (12.2%)","4,214 (10.1%)","2,073 (7.9%)",Missing retained as category,0.06473903279905516,0.14200874227117932
Hospital admission source: Other,4 (0.0%),1 (0.0%),1 (0.0%),Missing retained as category,0.00652538252159941,0.004144482456378542
Hospital admission source: Other Hospital,"1,057 (1.8%)",560 (1.3%),379 (1.4%),Missing retained as category,0.037049464197201676,0.028591020682493497
Hospital admission source: Other ICU,114 (0.2%),52 (0.1%),55 (0.2%),Missing retained as category,0.017504464906852694,0.0033090785604201786
Hospital admission source: PACU,364 (0.6%),451 (1.1%),214 (0.8%),Missing retained as category,0.05019238001864808,0.022945375108159256
Hospital admission source: Recovery Room,"1,659 (2.8%)","1,948 (4.7%)","1,095 (4.2%)",Missing retained as category,0.09710814573231674,0.07289957173999265
Hospital admission source: Step-Down Unit (SDU),981 (1.7%),217 (0.5%),357 (1.4%),Missing retained as category,0.11100936018419785,0.025800343437862784
