predictor,clinical_domain,data_type,source_table_field,extraction_window,overall_missingness,min_hospital_missingness,max_hospital_missingness,hospitals_completely_unavailable,missingness_indicator_generated,removed_folds,removed_fold_count,retained_all_folds
x_lab_chloride_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.22135029320750202,0.0,0.8076923076923077,0,Yes when missing in training,,0,True
x_lab_chloride_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.22135029320750202,0.0,0.8076923076923077,0,Yes when missing in training,,0,True
x_lab_chloride_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.22135029320750202,0.0,0.8076923076923077,0,Yes when missing in training,,0,True
x_lab_chloride_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.22135029320750202,0.0,0.8076923076923077,0,Yes when missing in training,,0,True
x_lab_glucose_serum_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.22266673505325604,0.0,0.8907563025210085,0,Yes when missing in training,,0,True
x_lab_glucose_serum_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.22266673505325604,0.0,0.8907563025210085,0,Yes when missing in training,,0,True
x_lab_glucose_serum_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.22266673505325604,0.0,0.8907563025210085,0,Yes when missing in training,,0,True
x_lab_glucose_serum_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.22266673505325604,0.0,0.8907563025210085,0,Yes when missing in training,,0,True
x_lab_glucose_serum_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.22266673505325604,0.0,0.8907563025210085,0,Yes when missing in training,,0,True
x_lab_glucose_serum_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.22266673505325604,0.0,0.8907563025210085,0,Yes when missing in training,,0,True
x_lab_calcium_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.24436238053717665,0.0,1.0,1,Yes when missing in training,,0,True
x_lab_calcium_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.24436238053717665,0.0,1.0,1,Yes when missing in training,,0,True
x_lab_calcium_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.24436238053717665,0.0,1.0,1,Yes when missing in training,,0,True
x_lab_calcium_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.24436238053717665,0.0,1.0,1,Yes when missing in training,,0,True
x_lab_calcium_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.24436238053717665,0.0,1.0,1,Yes when missing in training,,0,True
x_lab_calcium_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.24436238053717665,0.0,1.0,1,Yes when missing in training,,0,True
x_lab_magnesium_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.49852114000444514,0.0,1.0,4,Yes when missing in training,"4,5",2,False
x_lab_magnesium_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.49852114000444514,0.0,1.0,4,Yes when missing in training,"4,5",2,False
x_lab_magnesium_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.49852114000444514,0.0,1.0,4,Yes when missing in training,"4,5",2,False
x_lab_magnesium_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.49852114000444514,0.0,1.0,4,Yes when missing in training,"4,5",2,False
x_lab_magnesium_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.49852114000444514,0.0,1.0,4,Yes when missing in training,"4,5",2,False
x_lab_magnesium_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.49852114000444514,0.0,1.0,4,Yes when missing in training,"4,5",2,False
x_lab_phosphate_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6746166076832333,0.0,1.0,9,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_phosphate_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6746166076832333,0.0,1.0,9,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_phosphate_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6746166076832333,0.0,1.0,9,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_phosphate_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6746166076832333,0.0,1.0,9,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_phosphate_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6746166076832333,0.0,1.0,9,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_phosphate_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6746166076832333,0.0,1.0,9,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_hgb_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.27289668496007935,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
