recorded_ethnicity,n,events,prevalence
African American,6394,533,0.08335939943697217
Asian,1069,63,0.05893358278765201
Caucasian,44858,2084,0.046457710999152885
Hispanic,2214,114,0.051490514905149054
Missing,505,31,0.061386138613861385
Native American,383,27,0.07049608355091384
Other/Unknown,3068,180,0.05867014341590613
