contrast,metric,difference,ci_low,ci_high,replicates
female minus male,auroc,-0.02651613587235735,-0.041272793058902996,-0.01093401528514519,2000
female minus male,auprc,-0.07105478036662793,-0.11138925795800947,-0.030484836049625014,2000
female minus male,calibration_intercept,-0.13911797684476002,-0.26639311598038407,-0.01137609253884807,2000
female minus male,calibration_slope,-0.04690519802598225,-0.0936705705615123,0.002956089297924711,2000
