pooled_rank,source_predictor,transformed_column_count,pooled_mean_absolute_grouped_shap,pooled_mean_signed_grouped_shap
86,x_vital_respiratory_rate_first,2,0.00682306106973526,-0.0004827981592195012
87,x_vital_respiratory_rate_n,2,0.006677971232920412,-0.0005412623741940314
88,x_lab_bilirubin_total_max,2,0.006629792766501409,-0.0015545819185184535
89,x_lab_glucose_serum_mean,2,0.00647451467938165,-0.0009304195440760437
90,x_lab_hgb_max,2,0.006404538617640849,0.0008887427702452384
91,x_vital_heart_rate_first,2,0.006318663257971584,0.0015187232153510439
92,x_lab_bicarbonate_min,2,0.006295503966682598,-0.00029945852814946134
93,x_lab_platelets_mean,2,0.006218943922642443,-0.0013927649975858305
94,x_lab_anion_gap_max,2,0.006211621474053387,-0.0024680586588604844
95,x_lab_chloride_mean,2,0.006135258886299651,-0.0011924712207753974
96,x_lab_hgb_last,2,0.006100885962794944,-0.0005542788861757633
97,x_lab_platelets_first,2,0.005880276812152572,-0.0007255467305226234
98,x_lab_platelets_max,2,0.005737700965911058,-0.0008476145988027345
99,x_vital_noninvasive_diastolic_bp_n,2,0.005535838467697416,-0.0013773108961218125
100,x_vital_sao2_min,2,0.005395695639989325,-0.0005401753854874363
101,x_vital_noninvasive_diastolic_bp_min,2,0.005328288037307563,-0.000598053327631958
102,x_vital_noninvasive_mean_bp_max,2,0.0053254872633939,-0.0005946471169154898
103,x_lab_inr_min,2,0.005310962200462406,-0.001025832267672104
104,x_lab_sodium_mean,2,0.00509149582469919,4.111498383326691e-05
105,x_lab_bicarbonate_first,2,0.004982977705550733,-0.0007686857840186755
106,x_lab_calcium_min,2,0.0049774235270998645,-0.0008381231583893404
107,x_lab_chloride_max,2,0.004972205221046998,-0.0005289856829752302
108,x_lab_calcium_mean,2,0.004955992164561735,-0.0008928350082306331
109,x_lab_hct_mean,2,0.004529238848065755,-0.0003746721982343488
110,x_lab_sodium_first,2,0.00440843430487816,0.0001775154818635912
111,x_vital_heart_rate_n,2,0.003996658763829585,-0.0008480193716750616
112,x_lab_chloride_min,2,0.003642640121824601,-0.000859426494730543
113,x_lab_phosphate_last,2,0.0036019698187303786,-0.0018154082529844222
114,x_lab_bicarbonate_max,2,0.0035797643539462365,-0.001366343105960855
115,x_vital_sao2_n,2,0.0035349445030484383,0.00018379674495789202
116,x_vital_noninvasive_diastolic_bp_max,2,0.0033376388093621094,0.00027738795850746186
117,x_lab_calcium_first,2,0.0032804245207971212,-7.441864192171398e-05
118,x_lab_hgb_min,2,0.0031912088809306492,-0.0008263594623835568
119,x_lab_magnesium_last,2,0.0031849553013083183,-0.0005963993430803203
120,x_lab_glucose_serum_last,2,0.0030865546267520036,-0.0001741639595318858
121,x_lab_hct_first,2,0.003056623069527182,-6.174390664411128e-05
122,x_lab_bilirubin_total_min,2,0.0029947176339124846,-0.0006281539950130561
123,x_lab_hgb_n,2,0.002989027001068392,-0.0007024615389826812
124,x_vital_sao2_max,2,0.0029505325279178688,-0.00030008336685252273
125,x_lab_sodium_min,2,0.0029349401137364734,0.00032536148940356225
126,x_lab_potassium_min,2,0.0028343491612277546,3.019779600271916e-05
127,x_lab_sodium_last,2,0.002786487187882852,-0.00038779363718129535
128,x_lab_calcium_max,2,0.0027583363636141047,-0.0005768082436465127
129,x_lab_phosphate_first,2,0.002513714207636017,-0.00044906889215857933
130,x_lab_sodium_max,2,0.002439441661424124,-0.0005292602910949755
131,x_lab_creatinine_n,2,0.002385750512425963,-0.0003595197614123977
132,x_lab_sodium_delta,2,0.0023455846333389663,-0.00010872777967401661
133,x_lab_anion_gap_n,2,0.002228475053400736,-8.211868358236041e-05
134,x_lab_albumin_min,2,0.002216169671676337,-0.00017272204031267303
135,x_lab_magnesium_max,2,0.0021921643185889923,-0.0002125135445844181
136,x_lab_potassium_first,2,0.0020998001238070815,0.00015939380845446206
137,x_lab_phosphate_mean,2,0.0020967205453140247,-0.0010483851645788963
138,x_lab_hgb_first,2,0.002066082558372135,-0.00013355413741752108
139,x_lab_potassium_mean,2,0.0020335469575621474,-0.0002638619194210279
140,x_lab_anion_gap_first,2,0.00197894246115866,-0.0005488940526176634
141,x_lab_bilirubin_total_first,2,0.0019450252748708782,-0.00045182538111470185
142,x_lab_albumin_last,2,0.0019430232102976676,-0.0005387054572032147
143,x_lab_chloride_n,2,0.0016140280196633087,0.00011232772472485536
144,x_lab_bicarbonate_n,2,0.0016017076267274115,0.0003481036174007934
145,x_lab_wbc_n,2,0.0015215452840943212,-8.556714609344132e-05
146,x_lab_albumin_mean,2,0.0014497714208894636,-0.00026195718933443723
147,x_lab_albumin_max,2,0.0013399290314932677,-0.0002848657644119816
148,x_lab_potassium_n,2,0.0013385082916737697,0.00012731764947742865
149,x_lab_platelets_n,2,0.0011095410508630004,-0.00022080980767020107
150,x_lab_albumin_first,2,0.0010405054111293731,3.73832561165962e-06
151,x_lab_phosphate_min,2,0.000985915815984138,-0.00027000129308196524
152,x_lab_potassium_max,2,0.0009540237312865618,-6.541638072607241e-05
153,x_lab_sodium_n,2,0.000696609144355396,-7.2808976760537574e-06
154,x_lab_glucose_serum_n,2,0.0005351447244557814,9.100857397331394e-05
155,x_lab_magnesium_n,2,0.00043129775402840317,-0.00011361613572187603
156,x_lab_bun_n,2,0.0004280969335471703,8.240132313253338e-05
157,x_lab_bilirubin_total_n,2,0.00042796217945636567,-0.00014853018671087434
158,x_lab_phosphate_n,2,0.00011976718081423596,2.7482844587377983e-05
159,x_lab_albumin_n,2,8.060528450409679e-05,4.337141202912458e-05
