model,probability_type,patients,hospitals,events,nonevents,auroc,auprc,brier,log_loss,mean_predicted_risk,observed_event_rate,calibration_intercept,calibration_slope
catboost,raw,58491,198,3032,55459,0.8711323373691021,0.3930729606862283,0.0381274959838782,0.14399742886768357,0.050424873230516316,0.05183703475748406,0.2035201414134901,1.0776525023118533
catboost,platt_calibrated,58491,198,3032,55459,0.8711257242924614,0.393057394174676,0.03807880496158814,0.14370719493181713,0.052380482087430374,0.05183703475748406,-0.02698691832476643,0.9938759698641996
