probability_type,auroc_improvement_full_vs_ablation,auprc_improvement_full_vs_ablation,brier_improvement_full_vs_ablation,log_loss_improvement_full_vs_ablation,positive_value_favors,inference_status
raw,0.08949404956315388,0.18993189837875016,0.007088521375029404,0.03222554913417214,full_locked_xgboost,exploratory_post_hoc_nominal_95_ci
platt_calibrated,0.08953472712090749,0.1895470811494825,0.007140314203748534,0.03232728734681253,full_locked_xgboost,exploratory_post_hoc_nominal_95_ci
