metric,probability_type,point_estimate,bootstrap_replicates,bootstrap_mean,bootstrap_standard_error,ci_95_lower,ci_95_upper,bootstrap_unit,bootstrap_seed
auroc,raw_and_platt,0.8479862420411741,2000,0.8478509487626195,0.004162499161574956,0.8396468539270774,0.8557180224608733,hospital,20260723
auprc,raw_and_platt,0.31469331283864077,2000,0.31509288625664494,0.009921681145394072,0.29506777171185833,0.3344391664056164,hospital,20260723
brier_raw,raw,0.04179738939602348,2000,0.04181808855716035,0.0009857076763740834,0.039964073234116,0.043702703233792585,hospital,20260723
brier_platt,platt_calibrated,0.041758759298772735,2000,0.04177976077957381,0.0009863257406197647,0.03992012643365897,0.04366041781959572,hospital,20260723
log_loss_raw,raw,0.15859426938143661,2000,0.15868260297259962,0.0032696323470437147,0.15245821224354988,0.16500050655297543,hospital,20260723
log_loss_platt,platt_calibrated,0.1585461756993286,2000,0.15863293486397198,0.0032357468602501782,0.15253255624079093,0.16498720863919203,hospital,20260723
