model,probability_type,patients,hospitals,events,nonevents,auroc,auprc,brier,log_loss,mean_predicted_risk,observed_event_rate,calibration_intercept,calibration_slope
parsimonious_clinical_logistic,raw,58491,198,3032,55459,0.8147686391349221,0.26249283282934427,0.04376921139771424,0.16749867086545833,0.05200755582964301,0.05183703475748406,0.0057272395506758845,1.0038988860268534
parsimonious_clinical_logistic,platt_calibrated,58491,198,3032,55459,0.8147857665276604,0.262471248687717,0.04377300047066697,0.16749124019711692,0.05186325081635285,0.05183703475748406,-0.0011748503737123387,0.9997652723312233
