feature,missing_count,missing_rate
x_vital_respiratory_rate_n,5185,0.08864611649655503
x_vital_noninvasive_systolic_bp_sd,3939,0.0673436939016259
x_vital_noninvasive_diastolic_bp_sd,3938,0.06732659725427843
x_vital_noninvasive_mean_bp_sd,3931,0.06720692072284624
x_vital_noninvasive_systolic_bp_first,3377,0.05773537809235609
x_vital_noninvasive_systolic_bp_last,3377,0.05773537809235609
x_vital_noninvasive_systolic_bp_max,3377,0.05773537809235609
x_vital_noninvasive_systolic_bp_mean,3377,0.05773537809235609
x_vital_noninvasive_systolic_bp_min,3377,0.05773537809235609
x_vital_noninvasive_systolic_bp_n,3377,0.05773537809235609
x_vital_noninvasive_diastolic_bp_first,3376,0.05771828144500863
x_vital_noninvasive_diastolic_bp_last,3376,0.05771828144500863
x_vital_noninvasive_diastolic_bp_max,3376,0.05771828144500863
x_vital_noninvasive_diastolic_bp_mean,3376,0.05771828144500863
x_vital_noninvasive_diastolic_bp_min,3376,0.05771828144500863
x_vital_noninvasive_diastolic_bp_n,3376,0.05771828144500863
x_vital_noninvasive_mean_bp_first,3363,0.057496025029491714
x_vital_noninvasive_mean_bp_last,3363,0.057496025029491714
x_vital_noninvasive_mean_bp_max,3363,0.057496025029491714
x_vital_noninvasive_mean_bp_mean,3363,0.057496025029491714
x_vital_noninvasive_mean_bp_min,3363,0.057496025029491714
x_vital_noninvasive_mean_bp_n,3363,0.057496025029491714
x_vital_sao2_sd,1507,0.02576464755261493
x_vital_sao2_first,1454,0.024858525243199807
x_vital_sao2_last,1454,0.024858525243199807
x_vital_sao2_max,1454,0.024858525243199807
x_vital_sao2_mean,1454,0.024858525243199807
x_vital_sao2_min,1454,0.024858525243199807
x_vital_sao2_n,1454,0.024858525243199807
x_bmi,1393,0.023815629755005042
x_vital_heart_rate_sd,905,0.015472465849446924
x_vital_heart_rate_first,898,0.015352789318014738
x_vital_heart_rate_last,898,0.015352789318014738
x_vital_heart_rate_max,898,0.015352789318014738
x_vital_heart_rate_mean,898,0.015352789318014738
x_vital_heart_rate_min,898,0.015352789318014738
x_vital_heart_rate_n,898,0.015352789318014738
x_unit_admit_source,87,0.0014874083192285992
x_age_years,0,0.0
x_reference_creatinine,0,0.0
x_sex,0,0.0
x_stage1_at_landmark,0,0.0
x_unit_type,0,0.0
