model,probability_type,patients,hospitals,events,nonevents,auroc,auprc,brier,log_loss,mean_predicted_risk,observed_event_rate,calibration_intercept,calibration_slope
random_forest,raw,58491,198,3032,55459,0.867530556695928,0.38947467660352453,0.038211899890780124,0.14482273448184427,0.05349980109329136,0.05183703475748406,0.012958800648654097,1.0278323271059577
random_forest,platt_calibrated,58491,198,3032,55459,0.8675240536389976,0.38930972735751107,0.03818129631764701,0.14476414567619617,0.05180696420171807,0.05183703475748406,-0.0034375424758086434,0.9978823369106514
