model_a,model_b,probability_type,metric,point_estimate,bootstrap_replicates,bootstrap_mean,bootstrap_standard_error,ci_95_lower,ci_95_upper,positive_value_favors,statistical_direction,bootstrap_unit,paired_resampling,bootstrap_seed
catboost,random_forest,raw,delta_auprc_a_minus_b,0.0035982840827037954,2000,0.0036442069803113678,0.004569199701554446,-0.004932376699757784,0.013086315552236164,catboost,confidence_interval_includes_zero,hospital,True,20260723
catboost,random_forest,raw,brier_improvement_b_minus_a,8.440390690193922e-05,2000,8.156014365893566e-05,0.0001000636901954003,-0.00010233272005428488,0.0002825412271637812,catboost,confidence_interval_includes_zero,hospital,True,20260723
catboost,random_forest,raw,log_loss_improvement_b_minus_a,0.0008253055785996111,2000,0.0008313152267943367,0.00047964323730363234,-0.00010444718213895794,0.0017705590596827367,catboost,confidence_interval_includes_zero,hospital,True,20260723
catboost,random_forest,platt_calibrated,delta_auroc_a_minus_b,0.003601670653463729,2000,0.003654010656744755,0.0019916227888199982,-0.00013328010289162529,0.0075473521003353305,catboost,confidence_interval_includes_zero,hospital,True,20260723
catboost,random_forest,platt_calibrated,delta_auprc_a_minus_b,0.0037476668171649297,2000,0.0037721962234374936,0.004552083371887265,-0.004691787841314386,0.013116608399280267,catboost,confidence_interval_includes_zero,hospital,True,20260723
catboost,random_forest,platt_calibrated,brier_improvement_b_minus_a,0.00010249135605887305,2000,0.00010055804426549094,0.0001099673685610261,-0.000115154646215224,0.0003106628373142825,catboost,confidence_interval_includes_zero,hospital,True,20260723
catboost,random_forest,platt_calibrated,log_loss_improvement_b_minus_a,0.0010569507443790038,2000,0.001065490970626961,0.0005124567865315309,6.623285937773782e-05,0.002041417400721941,catboost,statistically_favors_catboost,hospital,True,20260723
catboost,logistic_regression,raw,delta_auroc_a_minus_b,0.023146095327927996,2000,0.023167421562915763,0.0022547769447875845,0.018842341068457145,0.027703868525030165,catboost,statistically_favors_catboost,hospital,True,20260723
catboost,logistic_regression,raw,delta_auprc_a_minus_b,0.07837964784758755,2000,0.07829156337597272,0.006703942291914266,0.06520966833164492,0.09145603493297264,catboost,statistically_favors_catboost,hospital,True,20260723
catboost,logistic_regression,raw,brier_improvement_b_minus_a,0.0036698934121452975,2000,0.0036683735293037466,0.00024227046278061325,0.0032133336220618426,0.004162696217089528,catboost,statistically_favors_catboost,hospital,True,20260723
catboost,logistic_regression,raw,log_loss_improvement_b_minus_a,0.014596840513752984,2000,0.014600020028292953,0.0008630860582831288,0.012969493881369835,0.016357347943016114,catboost,statistically_favors_catboost,hospital,True,20260723
catboost,logistic_regression,platt_calibrated,delta_auroc_a_minus_b,0.023200998136872708,2000,0.02321992334207921,0.00225115021606499,0.01889657479029442,0.027757297365832285,catboost,statistically_favors_catboost,hospital,True,20260723
catboost,logistic_regression,platt_calibrated,delta_auprc_a_minus_b,0.07841085488595878,2000,0.07832126416269235,0.006727902794782588,0.06522450674373799,0.09157997305211486,catboost,statistically_favors_catboost,hospital,True,20260723
catboost,logistic_regression,platt_calibrated,brier_improvement_b_minus_a,0.003679954337184592,2000,0.0036795133900651288,0.000256578716166569,0.0032026352233464734,0.0041884334146268095,catboost,statistically_favors_catboost,hospital,True,20260723
catboost,logistic_regression,platt_calibrated,log_loss_improvement_b_minus_a,0.014838980767511528,2000,0.014840432891596641,0.0008721669167315856,0.013202703924173768,0.01661134091880644,catboost,statistically_favors_catboost,hospital,True,20260723
random_forest,logistic_regression,raw,delta_auroc_a_minus_b,0.019544314654753925,2000,0.019513577734303914,0.002813644952946726,0.01383995034480712,0.024976230534004006,random_forest,statistically_favors_random_forest,hospital,True,20260723
random_forest,logistic_regression,raw,delta_auprc_a_minus_b,0.07478136376488376,2000,0.07464735639566135,0.007588738039808314,0.06053831515054151,0.08975310502557206,random_forest,statistically_favors_random_forest,hospital,True,20260723
random_forest,logistic_regression,raw,brier_improvement_b_minus_a,0.0035854895052433583,2000,0.0035868133856448107,0.000269958122615929,0.0030821937764561767,0.004140075146355816,random_forest,statistically_favors_random_forest,hospital,True,20260723
random_forest,logistic_regression,raw,log_loss_improvement_b_minus_a,0.013771534935153373,2000,0.013768704801498617,0.0009886398879454974,0.011871657998930507,0.015760386876686013,random_forest,statistically_favors_random_forest,hospital,True,20260723
random_forest,logistic_regression,platt_calibrated,delta_auroc_a_minus_b,0.01959932748340898,2000,0.019565912685334454,0.0028104622058221437,0.013864210911446883,0.025043203567331786,random_forest,statistically_favors_random_forest,hospital,True,20260723
random_forest,logistic_regression,platt_calibrated,delta_auprc_a_minus_b,0.07466318806879385,2000,0.07454906793925485,0.007604598334430794,0.06032098427371067,0.08976944303032651,random_forest,statistically_favors_random_forest,hospital,True,20260723
random_forest,logistic_regression,platt_calibrated,brier_improvement_b_minus_a,0.003577462981125719,2000,0.0035789553457996376,0.00026560974772659894,0.003070401007977399,0.004120601761707466,random_forest,statistically_favors_random_forest,hospital,True,20260723
random_forest,logistic_regression,platt_calibrated,log_loss_improvement_b_minus_a,0.013782030023132524,2000,0.013774941920969681,0.0009797656860781976,0.01190788222189288,0.01577832715565375,random_forest,statistically_favors_random_forest,hospital,True,20260723
