outer_fold,selected_candidate,source_predictor,transformed_column_count,mean_absolute_grouped_shap,mean_signed_grouped_shap,fold_rank
1,XGB04,x_lab_phosphate_min,2,0.0011930291588517002,-0.00020148059251764896,146
1,XGB04,x_lab_phosphate_max,2,0.006164262513750611,-0.002468400298313435,89
1,XGB04,x_lab_phosphate_mean,2,0.004631652694734876,-0.002740761207090436,110
1,XGB04,x_lab_phosphate_n,2,0.0,0.0,155
1,XGB04,x_lab_hgb_first,2,0.002373152077879708,-0.00022095032677345723,132
1,XGB04,x_lab_hgb_last,2,0.006989404302012383,-0.0011946024247435603,81
1,XGB04,x_lab_hgb_min,2,0.005740950836725043,-0.0017874293518359992,97
1,XGB04,x_lab_hgb_max,2,0.007864904201339703,0.0009582442940579632,74
1,XGB04,x_lab_hgb_mean,2,0.006950733670333731,-0.000594858548118893,83
1,XGB04,x_lab_hgb_n,2,0.003393267938534985,-0.0008291780235440063,117
1,XGB04,x_lab_hct_first,2,0.006078748671857822,-0.0007135475636284338,90
1,XGB04,x_lab_hct_last,2,0.007073700867593159,-0.002300757798783334,80
1,XGB04,x_lab_hct_min,2,0.008430340955252628,-0.002948513015379396,68
1,XGB04,x_lab_hct_max,2,0.010984148227537113,0.0019403316849060251,56
1,XGB04,x_lab_hct_mean,2,0.0031782130431998396,0.001108994380779157,120
1,XGB04,x_lab_hct_n,2,0.012134270894289855,-0.002249164206272566,55
1,XGB04,x_lab_platelets_first,2,0.005233052570784696,4.679687655312382e-05,107
1,XGB04,x_lab_platelets_last,2,0.006983647872990141,-0.0015673161948198792,82
1,XGB04,x_lab_platelets_min,2,0.04215356115527743,-0.007334639950273515,20
1,XGB04,x_lab_platelets_max,2,0.005862831441976045,-0.0008507101076965396,95
1,XGB04,x_lab_platelets_mean,2,0.0060032611631052855,-0.001876681795446798,92
1,XGB04,x_lab_platelets_n,2,0.0007890358023040049,-0.00020537668870312424,151
1,XGB04,x_lab_wbc_first,2,0.00787255703039451,-0.0003619375196441424,73
1,XGB04,x_lab_wbc_last,2,0.020323508411489333,-0.003515479701831647,33
1,XGB04,x_lab_wbc_min,2,0.012615141521954826,-0.0022540402772042076,54
1,XGB04,x_lab_wbc_max,2,0.021111345702136172,-0.002120833050426336,32
1,XGB04,x_lab_wbc_mean,2,0.008817706469067562,-0.002577725847469972,65
1,XGB04,x_lab_wbc_n,2,0.002989862247925995,-0.0002525557362060892,122
1,XGB04,x_lab_albumin_first,2,0.00045403073482085983,1.68718949943948e-05,153
