model,probability_type,patients,hospitals,events,nonevents,auroc,auprc,brier,log_loss,mean_predicted_risk,observed_event_rate,calibration_intercept,calibration_slope
xgboost,raw,58491,198,3032,55459,0.8758889681797307,0.39940450890941825,0.03785495607693847,0.14225103104205378,0.05071056913045494,0.05183703475748406,0.18423267293658527,1.0741962805949599
xgboost,platt_calibrated,58491,198,3032,55459,0.8758038099504537,0.3988324062812816,0.037799630507975676,0.14201893213075392,0.052096833360869337,0.05183703475748406,0.0022707077040538142,1.0045791401544033
