metric,probability_type,point_estimate,bootstrap_replicates,bootstrap_mean,bootstrap_standard_error,ci_95_lower,ci_95_upper,bootstrap_unit,bootstrap_seed
auroc,raw,0.8711323373691021,2000,0.8710183703255352,0.003922070963052246,0.8633287913859591,0.87878889627906,hospital,20260723
auroc,platt_calibrated,0.8711257242924614,2000,0.8710120561382555,0.003918564882874931,0.8633077330728091,0.8787670502841726,hospital,20260723
auprc,raw,0.3930729606862283,2000,0.3933844496326176,0.01161498969560569,0.37073654694143343,0.4147229983159595,hospital,20260723
auprc,platt_calibrated,0.393057394174676,2000,0.3933675712212935,0.01162908899950317,0.37059653920294927,0.41467547157467094,hospital,20260723
brier,raw,0.0381274959838782,2000,0.0381497150278566,0.0009351353240818913,0.036323010716370376,0.03996720522072382,hospital,20260723
brier,platt_calibrated,0.03807880496158814,2000,0.03810024738950868,0.0009254183965349994,0.03631726705603533,0.039889979699706916,hospital,20260723
log_loss,raw,0.14399742886768357,2000,0.14408258294430668,0.0031057627647538668,0.1380436227230417,0.1501633312356466,hospital,20260723
log_loss,platt_calibrated,0.14370719493181713,2000,0.14379250197237534,0.0031210289709290005,0.13773937538094486,0.14984106895592358,hospital,20260723
