model,probability_type,patients,hospitals,events,nonevents,auroc,auprc,brier,log_loss,mean_predicted_risk,observed_event_rate,calibration_intercept,calibration_slope,auroc_rank,auprc_rank,brier_rank,log_loss_rank
logistic_regression,raw,58491,198,3032,55459,0.8479862420411741,0.31469331283864077,0.04179738939602348,0.15859426938143661,0.05147374375813641,0.05183703475748406,-0.08783265382761406,0.9598897949736817,4.0,4.0,4.0,4.0
logistic_regression,platt_calibrated,58491,198,3032,55459,0.8479247261555887,0.3146465392887172,0.041758759298772735,0.15854617569932866,0.0517802671833145,0.05183703475748406,0.02502752383855207,1.009710803697483,4.0,4.0,4.0,4.0
random_forest,raw,58491,198,3032,55459,0.867530556695928,0.38947467660352453,0.038211899890780124,0.14482273444628324,0.053499801057730334,0.05183703475748406,0.012956715610139776,1.0278325060814404,3.0,3.0,3.0,3.0
random_forest,platt_calibrated,58491,198,3032,55459,0.8675240536389976,0.38930972735751107,0.038181296317647016,0.14476414567619614,0.05180696420171806,0.05183703475748406,-0.0034376846875297015,0.9978822852498124,3.0,3.0,3.0,3.0
catboost,raw,58491,198,3032,55459,0.8711323373691021,0.3930729606862283,0.038127495983878185,0.14399742886768363,0.05042487323051632,0.05183703475748406,0.20352014141349015,1.0776525023118533,2.0,2.0,2.0,2.0
catboost,platt_calibrated,58491,198,3032,55459,0.8711257242924614,0.393057394174676,0.03807880496158814,0.14370719493181713,0.05238048208743037,0.05183703475748406,-0.02698691832476649,0.9938759698641995,2.0,2.0,2.0,2.0
xgboost,raw,58491,198,3032,55459,0.8758889681797307,0.39940450890941825,0.03785495607693847,0.14225103104205378,0.05071056913045494,0.05183703475748406,0.18423267293658493,1.0741962805949599,1.0,1.0,1.0,1.0
xgboost,platt_calibrated,58491,198,3032,55459,0.8758038099504537,0.3988324062812816,0.037799630507975676,0.14201893213075395,0.052096833360869337,0.05183703475748406,0.002270707704053572,1.0045791401544033,1.0,1.0,1.0,1.0
