range_name,threshold_count,minimum_threshold,maximum_threshold,xgboost_nb_positive_thresholds,clinical_nb_positive_thresholds,xgboost_above_treat_all_thresholds,clinical_above_treat_all_thresholds,xgboost_above_clinical_thresholds,xgboost_minus_clinical_pointwise_ci_lower_gt_zero_thresholds,optimal_threshold_selected
primary_1_to_10_percent,19,0.01,0.1,19,19,19,18,19,19,False
sensitivity_0_5_to_15_percent,30,0.005,0.15,30,30,30,29,30,30,False
