model,threshold,sensitivity,specificity,ppv,npv,alerts_per_100
Full XGBoost,0.05,0.7410949868073878,0.8635568618258533,0.2289586305278174,0.9838732871787497,16.778649706792496
High-missingness ablation,0.05,0.7404353562005277,0.8629798589949332,0.22805770012190166,0.9838222295311119,16.829939648834863
