predictor,training_missingness
x_lab_albumin_first,0.610772813708523
x_lab_albumin_last,0.610772813708523
x_lab_albumin_max,0.610772813708523
x_lab_albumin_mean,0.610772813708523
x_lab_albumin_min,0.610772813708523
x_lab_albumin_n,0.610772813708523
x_lab_bilirubin_total_first,0.6444245027028181
x_lab_bilirubin_total_last,0.6444245027028181
x_lab_bilirubin_total_max,0.6444245027028181
x_lab_bilirubin_total_mean,0.6444245027028181
x_lab_bilirubin_total_min,0.6444245027028181
x_lab_bilirubin_total_n,0.6444245027028181
x_lab_inr_first,0.6440185458197124
x_lab_inr_last,0.6440185458197124
x_lab_inr_max,0.6440185458197124
x_lab_inr_mean,0.6440185458197124
x_lab_inr_min,0.6440185458197124
x_lab_inr_n,0.6440185458197124
x_lab_phosphate_first,0.659017584342884
x_lab_phosphate_last,0.659017584342884
x_lab_phosphate_max,0.659017584342884
x_lab_phosphate_mean,0.659017584342884
x_lab_phosphate_min,0.659017584342884
x_lab_phosphate_n,0.659017584342884
x_lab_potassium_delta,0.633570497617674
x_lab_sodium_delta,0.6690596756618166
