predictor,training_missingness
x_lab_albumin_first,0.6218404803110912
x_lab_albumin_last,0.6218404803110912
x_lab_albumin_max,0.6218404803110912
x_lab_albumin_mean,0.6218404803110912
x_lab_albumin_min,0.6218404803110912
x_lab_albumin_n,0.6218404803110912
x_lab_bilirubin_total_first,0.6530136957032668
x_lab_bilirubin_total_last,0.6530136957032668
x_lab_bilirubin_total_max,0.6530136957032668
x_lab_bilirubin_total_mean,0.6530136957032668
x_lab_bilirubin_total_min,0.6530136957032668
x_lab_bilirubin_total_n,0.6530136957032668
x_lab_inr_first,0.6489113945687243
x_lab_inr_last,0.6489113945687243
x_lab_inr_max,0.6489113945687243
x_lab_inr_mean,0.6489113945687243
x_lab_inr_min,0.6489113945687243
x_lab_inr_n,0.6489113945687243
x_lab_magnesium_first,0.5023609597675363
x_lab_magnesium_last,0.5023609597675363
x_lab_magnesium_max,0.5023609597675363
x_lab_magnesium_mean,0.5023609597675363
x_lab_magnesium_min,0.5023609597675363
x_lab_magnesium_n,0.5023609597675363
x_lab_phosphate_first,0.6769010533512809
x_lab_phosphate_last,0.6769010533512809
x_lab_phosphate_max,0.6769010533512809
x_lab_phosphate_mean,0.6769010533512809
x_lab_phosphate_min,0.6769010533512809
x_lab_phosphate_n,0.6769010533512809
x_lab_potassium_delta,0.6455569087451659
x_lab_sodium_delta,0.681131551396278
