model,auroc,auprc,brier,calibration_intercept,calibration_slope,mean_predicted_risk
Full XGBoost,0.8758038099504537,0.3988324062812816,0.037799630507975676,0.002270707704053653,1.0045791401544033,0.052096833360869337
High-missingness ablation,0.8758705502855255,0.3989272087297289,0.03780695564312841,0.005948908780950224,1.0073025792254364,0.05218857466352419
