metric,difference_ablation_minus_full,ci_low,ci_high,bootstrap_replicates
auroc,6.67403350718132e-05,-0.0013578455245467774,0.0014852082222014942,2000
auprc,9.480244844733976e-05,-0.005052713440879222,0.004916075124839443,2000
brier,7.325135152731754e-06,-0.0001273610867087353,0.00014581346232637072,2000
calibration_intercept,0.003678201076896571,-0.007746551336955234,0.014742490724195445,2000
calibration_slope,0.002723439071033118,-0.0015171741931647054,0.00743892253751641,2000
