outer_fold,candidate_id,auroc,auprc,brier
1,XGB01,0.8618058452960405,0.3584992856494127,0.03942772871280204
1,XGB02,0.8734709605461902,0.385750159446688,0.03834439063703912
1,XGB03,0.8711057292012765,0.38167497679548595,0.03852699303327819
1,XGB04,0.8754168617199767,0.3891190671848138,0.03817363013171872
1,XGB05,0.8628557753332148,0.3614373667472665,0.03930483687784084
1,XGB06,0.8743916069056887,0.3867590846688404,0.03828621202580622
2,XGB01,0.8578202995441095,0.354481948427841,0.039609865404155085
2,XGB02,0.868805798431239,0.3797755097054465,0.03856005705293164
2,XGB03,0.8673557047937469,0.3776540130184612,0.038696099633475436
2,XGB04,0.8719561684164703,0.39020175804763213,0.03827264457911546
2,XGB05,0.8591807565692364,0.3564581639762234,0.039504924951505524
2,XGB06,0.8704933438626357,0.3833906714140189,0.03847175017731446
3,XGB01,0.8605260192731055,0.3588394553045881,0.0394491819132615
3,XGB02,0.870450106694367,0.3838495578094943,0.03843409878509224
3,XGB03,0.8681938510051856,0.3786077507605372,0.03861599395368332
3,XGB04,0.8735859218154339,0.39104746843232513,0.03816086379719684
3,XGB05,0.8613774934033974,0.3615522420248717,0.03935358579912102
3,XGB06,0.8714465253624232,0.3855281574225829,0.038354967462795285
4,XGB01,0.8600421357877192,0.35028330591411977,0.03965963076879717
4,XGB02,0.8706767945955679,0.37807166712416423,0.03858297084685237
4,XGB03,0.8684735568087723,0.3726402860284094,0.03877638831845048
4,XGB04,0.8741029258395907,0.3856894252334073,0.038277124380936
4,XGB05,0.8604487684133221,0.35086603397798605,0.039576772365198354
4,XGB06,0.8717480280860419,0.3812911067330977,0.03846862932153092
5,XGB01,0.8625469890459845,0.37388492506120435,0.0389349697903563
5,XGB02,0.8732410207221527,0.39555337056975254,0.037993737617477326
5,XGB03,0.8706628152202831,0.39222813076680824,0.03815097642488164
5,XGB04,0.8748257710052746,0.4044900851300335,0.037730586839549156
5,XGB05,0.8634957474183066,0.3743840994848152,0.038858390028417414
5,XGB06,0.8737817438870328,0.4000329595622908,0.03786473227412257
